#C.D.S.  -  SIMBAD4 rel 1.7  -  2020.11.23EST20:49:13#
#
#Vmag < 3 & Vmag > 1
#-------------------
#
#Number of objects : 178
#
# # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
#---|-------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
75 |* bet Peg                |LP*|23 03 46.45746 +28 04 58.0336          | 6.05 | 4.09 | 2.42 | 0.92 |-0.40 |M2.5II-III     | 579|   0
76 |* alf And                |a2*|00 08 23.25988 +29 05 25.5520          | 1.48 | 1.95 | 2.06 | 2.09 | 2.19 |B8IV-VHgMn     | 446|   0
77 |* eta Peg                |SB*|22 43 00.1237213526 +30 13 16.027068152| 4.38 | 3.81 | 2.95 | 2.31 | 1.83 |G8II+F0V       | 187|   0
78 |* bet And                |PM*|01 09 43.92388 +35 37 14.0075          | 5.58 | 3.62 | 2.05 | 0.81 |-0.19 |M0+IIIa        | 535|   0
79 |* alf Hya                |*  |09 27 35.24270 -08 39 30.9583          | 5.14 | 3.42 | 1.97 | 0.93 | 0.16 |K3IIIa         | 407|   0
80 |* eps Leo                |V* |09 45 51.0733004 +23 46 27.320834      | 4.23 | 3.79 | 2.98 | 2.36 | 1.93 |G1IIIa         | 323|   0
81 |* alf Leo                |PM*|10 08 22.31099 +11 58 01.9516          | 0.88 | 1.24 | 1.40 | 1.37 | 1.47 |B8IVn          | 809|   0
82 |* gam01 Leo              |PM*|10 19 58.354462 +19 50 29.35920        | 4.13 | 3.13 | 1.98 | 1.13 | 0.51 |K1-IIIFe-1     | 271|   1
83 |* gam Leo                |** |10 19 58.35056 +19 50 29.3468          |     ~| 3.79 | 2.37 |     ~|     ~|K1-III+G7IIIb  |  70|   0
84 |* del Leo                |PM*|11 14 06.50142 +20 31 25.3853          | 2.79 | 2.68 | 2.53 | 2.44 | 2.41 |A5IV(n)        | 265|   0
85 |* bet Leo                |dS*|11 49 03.57834 +14 34 19.4090          | 2.30 | 2.22 | 2.13 | 2.08 | 2.06 |A3Va           | 544|   0
86 |* eps Crv                |PM*|12 10 07.4805825 -22 37 11.161983      | 5.79 | 4.32 | 2.98 | 2.05 | 1.41 |K2+IIIa        | 137|   0
87 |* gam Crv                |PM*|12 15 48.37081 -17 32 30.9496          | 2.12 | 2.47 | 2.58 | 2.62 | 2.71 |B8III          | 227|   0
88 |* del Crv                |PM*|12 29 51.8551642 -16 30 55.552542      | 2.80 | 2.89 | 2.94 | 2.99 | 3.03 |A0IV(n)kB9     | 186|   0
89 |* gam Vir                |** |12 41 39.64344 -01 26 57.7421          | 3.07 | 3.10 | 2.74 | 2.45 | 2.26 |F1V+F0mF2V     |  92|   0
90 |* bet Crv                |PM*|12 34 23.2348393 -23 23 48.337453      | 4.17 | 3.52 | 2.64 | 2.03 | 1.59 |G5IIBa0.3      | 242|   0
91 |* alf02 CVn              |a2*|12 56 01.6662171 +38 19 06.154110      | 2.44 | 2.76 | 2.88 | 2.98 | 3.05 |A0VpSiEu       | 641|   0
92 |* eps Vir                |PM*|13 02 10.5978496 +10 57 32.941443      | 4.45 | 3.71 | 2.79 | 2.16 | 1.71 |G8III-IIIb     | 518|   0
93 |* iot Cen                |PM*|13 20 35.8173695 -36 42 44.244688      | 2.77 | 2.76 | 2.73 | 2.68 | 2.69 |kA1.5hA3mA3Va  | 191|   0
94 |* eta Boo                |SB*|13 54 41.07892 +18 23 51.7946          | 3.440| 3.250| 2.680| 2.24 | 1.95 |G0IV           | 657|   1
95 |* tet Cen                |PM*|14 06 40.94752 -36 22 11.8371          | 3.94 | 3.04 | 2.05 | 1.29 | 0.76 |K0-IIIb        | 238|   0
96 |* eps Boo                |** |14 44 59.21746 +27 04 27.2099          |     ~| 3.36 | 2.39 |     ~|     ~|A0             |  45|   0
97 |* eps Boo A              |*  |14 44 59.223146 +27 04 27.14599        |     ~| 3.61 | 2.45 |     ~|     ~|K0-II-III      | 114|   0
98 |* alf02 Lib              |SB*|14 50 52.71309 -16 02 30.3955          | 2.99 | 2.90 | 2.75 | 2.61 | 2.57 |kA2hA5mA4IV-V  | 205|   0
99 |NGC 6231                 |OpC|16 54 08.51 -41 49 36.0                |     ~| 2.83 | 2.6  |     ~|     ~|~              | 487|   0
100|* tet Sco                |*  |17 37 19.12985 -42 59 52.1808          |     ~| 2.29 | 1.85 |     ~|     ~|F1III          | 118|   0
101|* iot01 Sco              |s*y|17 47 35.0811299 -40 07 37.189349      |     ~| 3.492| 2.992|     ~|     ~|F2Ia           | 105|   0
102|* mu.01 Sco              |bL*|16 51 52.2156925062 -38 02 50.635416093| 1.98 | 2.82 | 2.98 |     ~|     ~|B1V+B          | 270|   0
103|[SC96] Mis 162           |*  |16 52.0 -38 02                         |     ~|     ~| 2.51 |     ~|     ~|~              |   1|   0
104|* ups Sco                |*  |17 30 45.8371228 -37 17 44.928511      | 1.64 | 2.47 | 2.70 |     ~|     ~|B2IV           | 174|   0
105|* lam Sco                |bC*|17 33 36.52012 -37 06 13.7648          | 0.52 | 1.48 | 1.62 |     ~|     ~|B2IV+DA7.9     | 374|   1
106|* kap Sco                |bC*|17 42 29.27520 -39 01 47.9391          | 1.32 | 2.211| 2.386|     ~|     ~|B1.5III        | 228|   0
107|* eps Sco                |PM*|16 50 09.8108127 -34 17 35.633735      | 4.61 | 3.45 | 2.29 | 1.43 | 0.83 |K1III          | 201|   0
108|* eps Sgr                |** |18 24 10.31840 -34 23 04.6193          | 1.69 | 1.82 | 1.85 | 1.85 | 1.86 |B9IVp_lB?      | 198|   0
109|* pi. Sco                |bL*|15 58 51.1132378 -26 06 50.788602      | 1.82 | 2.71 | 2.91 | 3.00 | 3.20 |B1V+B2:V:      | 377|   0
110|* tau Sco                |*  |16 35 52.9528530 -28 12 57.661515      | 1.55 | 2.56 | 2.81 | 2.93 | 3.18 |B0.2V          | 861|   0
111|* gam02 Sgr              |PM*|18 05 48.4880988 -30 25 26.723458      | 4.77 | 4.00 | 2.99 | 2.26 | 1.75 |K0+III         | 130|   0
112|* del Sgr                |*  |18 20 59.6435424 -29 49 41.165919      |     ~| 4.069| 2.668|     ~|     ~|K2.5IIIaCN0.5  | 162|   0
113|* zet Sgr                |** |19 02 36.73024 -29 52 48.2279          |     ~| 2.685| 2.585|     ~|     ~|A2.5Va         | 160|   0
114|* del Sco                |SB*|16 00 20.00528 -22 37 18.1431          | 1.30 | 2.20 | 2.32 | 2.36 | 2.49 |B0.3IV         | 697|   0
115|* sig Sco                |bC*|16 21 11.3157134 -25 35 34.051476      | 2.32 | 3.02 | 2.89 | 1.69 | 1.58 |O9.5(V)+B7(V)  | 830|   0
116|* lam Sgr                |PM*|18 27 58.2407185 -25 25 18.114589      | 4.75 | 3.85 | 2.81 | 2.06 | 1.50 |K1IIIb         | 260|   0
